,RowNum,amount,avgPS,avgScreen,cinemaId,cinemaName,scenes,scenes_time,screen_yield
8,79,2325592.10,59.20,3837.61,9759,济南高新万达广场店,606,7.21,27685.62
9,80,2321990.00,78.92,5148.54,9717,中影国际影城上海合生汇店,451,7.16,36856.98
0,81,2319546.00,86.37,5332.29,6841,潍坊齐纳国际影城泰华店,435,6.90,36818.19
1,82,2315000.00,127.55,6290.76,981,中影国际影城天津西青永旺店,368,6.57,41339.29
2,83,2308762.00,74.56,4518.13,434,泰州万达广场店,511,7.30,32982.31
3,84,2308074.92,60.64,4798.49,6227,温州平阳万达广场店,481,7.63,36636.11
4,85,2303727.00,105.56,5999.29,22,中影国际影城北京昌平永旺店,384,6.86,41137.98
5,86,2303460.60,86.42,5118.80,3889,抚顺万达广场店,450,6.43,32906.58
6,87,2301088.00,70.15,4824.08,12044,深圳市百老汇电影中心影城,477,6.81,32872.69
7,88,2299126.40,57.18,3298.60,10310,海口万达影城海航日月广场店,697,7.11,23460.47
8,89,2297551.00,89.03,5083.08,2521,广州飞扬影城,452,8.07,41027.70
9,90,2296348.00,51.16,4190.42,11905,CGV影城 深圳壹方城店,548,7.12,29822.70
0,91,2292481.30,63.17,3721.56,1429,绵阳涪城万达广场店,616,7.33,27291.44
1,92,2289660.90,60.43,3687.05,10099,乐山万达广场店,621,7.39,27257.87
2,93,2285032.60,58.08,3987.84,12028,普宁市中影时代国际影城,573,7.44,29675.75
3,94,2278913.00,101.58,5030.71,5615,中影国际影城珠海华发2店,453,6.47,32555.90
4,95,2277180.50,62.25,4993.82,970,北京万达影城天通苑龙德广场店,456,7.24,36145.72
5,96,2276676.00,102.02,5705.95,5934,淄博中影齐纳国际影城,399,6.33,36137.71
6,97,2271748.70,62.49,3811.66,1154,太仓万达广场店,596,7.74,29503.23
7,98,2270715.45,79.44,5196.15,5853,济宁太白路万达广场店,437,6.94,36043.10
8,99,2261987.00,80.00,5654.97,9227,大地影院温州苍南银泰城,400,6.35,35904.56
9,100,2254824.51,92.71,4818.00,11372,茂名市东汇国际影城,468,7.43,35790.87
